Flight Number,Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
Air India - 2944,BOM,DEL,Air India ,14:40,16:55,2h 15m,"5,431",19-08-2025,Economy
IndiGo - 2517,BOM,HDO,IndiGo ,07:40,09:40,2h,"5,909",19-08-2025,Economy
Air India - 2422,BOM,DEL,Air India ,01:50,04:10,2h 20m,"5,193",19-08-2025,Economy
Akasa Air - 1127,BOM,DEL,Akasa Air ,13:00,15:15,2h 15m,"5,457",19-08-2025,Economy
Air India - 2952,BOM,DEL,Air India ,12:30,14:55,2h 25m,"5,431",19-08-2025,Economy
Air India - 2432,BOM,DEL,Air India ,08:45,10:55,2h 10m,"5,987",19-08-2025,Economy
Air India - 2960,BOM,DEL,Air India ,09:25,11:40,2h 15m,"5,833",19-08-2025,Economy
Air India - 2430,BOM,DEL,Air India ,10:00,12:15,2h 15m,"5,833",19-08-2025,Economy
Air India - 2994,BOM,DEL,Air India ,10:30,12:45,2h 15m,"5,833",19-08-2025,Economy
IndiGo - 762,BOM,DEL,IndiGo ,06:00,07:55,1h 55m,"6,664",19-08-2025,Economy
IndiGo - 301,BOM,DEL,IndiGo ,07:00,09:10,2h 10m,"6,664",19-08-2025,Economy
IndiGo - 615,BOM,DEL,IndiGo ,13:35,15:45,2h 10m,"6,664",19-08-2025,Economy
IndiGo - 333,BOM,DEL,IndiGo ,08:05,10:15,2h 10m,"6,664",19-08-2025,Economy
IndiGo - 6704,BOM,DEL,IndiGo ,15:00,17:15,2h 15m,"6,664",19-08-2025,Economy
IndiGo - 6052,BOM,DEL,IndiGo ,10:00,12:20,2h 20m,"6,664",19-08-2025,Economy
Air India Exp - 1124,BOM,DEL,Air India Exp ,00:35,02:55,2h 20m,"7,217",19-08-2025,Economy
Air India Exp - 1146,BOM,DEL,Air India Exp ,02:15,04:40,2h 25m,"7,217",19-08-2025,Economy
Air India - 2591,BOM,IDR,Air India ,07:20,11:15,3h 55m,"5,833",19-08-2025,Economy
IndiGo - 519,DEL,BOM,IndiGo ,23:30,01:45,2h 15m,"4,799",19-08-2025,Economy
Air India - 2999,DEL,BOM,Air India ,22:00,00:15,2h 15m,"5,161",19-08-2025,Economy
Air India - 2439,DEL,BOM,Air India ,23:00,01:25,2h 25m,"4,924",19-08-2025,Economy
Air India Exp - 1145,DEL,BOM,Air India Exp ,23:00,01:25,2h 25m,"4,701",19-08-2025,Economy
SpiceJet - 709,DEL,BOM,SpiceJet ,19:45,22:05,2h 20m,"4,872",19-08-2025,Economy
